TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
.	E-work	O	I-work.primlit	O	O	O	_	_	_
εἰωθότοσ	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

1460	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
αὐτῶν	O	O	O	O	O	O	_	_	_
OL	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
αὐτὸν	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

Vat	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
ac	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	_
1467	B-scope	O	B-scope	O	O	O	_	_	_
.	E-scope	O	I-scope	O	O	O	_	_	_
εἰ	O	O	O	O	O	O	_	_	_
δ᾽	O	O	O	O	O	O	_	_	_
ἔπεστι	O	O	O	O	O	O	_	_	_
O	O	O	B-work.primlit	O	O	O	_	_	_
,	O	O	I-work.primlit	O	O	O	_	_	_
Edd	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
not	O	O	O	O	O	O	_	_	_
known	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

1469	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
τοι	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Edd	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
re	O	O	B-scope	O	O	O	_	_	_
LA	S-work	O	I-work.primlit	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

1505	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
χρῆν	O	O	O	O	O	O	_	_	_
δ᾽	O	O	O	O	O	O	_	_	_
ΟΙ	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
ἐχρῆν	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

1508	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
παθὸν	O	O	O	O	O	O	_	_	_
OL	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
παθὼν	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

In	O	O	O	O	O	O	_	_	_
all	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
cases	O	O	O	O	O	O	_	_	_
given	O	O	O	O	O	O	_	_	_
above	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
except	O	O	O	O	O	O	_	_	_
one	O	O	O	O	O	O	_	_	_
or	O	O	O	O	O	O	_	_	_
two	O	O	O	O	O	O	_	_	_
which	O	O	O	O	O	O	_	_	_
are	O	O	O	O	O	O	_	_	_
specified	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
has	O	O	O	O	O	O	_	_	_
preserved	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
correct	O	O	O	O	O	O	_	_	_
reading	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
almost	O	O	O	O	O	O	_	_	_
invariably	O	O	O	O	O	O	_	_	_
sides	O	O	O	O	O	O	_	_	_
with	O	O	O	O	O	O	_	_	_
L	O	O	O	O	O	O	_	_	_
against	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

A	O	O	O	O	O	O	_	_	_
few	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
O	S-pers	O	B-work.primlit	O	O	O	_	_	_
'	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
minor	O	O	O	O	O	O	_	_	_
corrections	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
are	O	O	O	O	O	O	_	_	_
omitted	O	O	O	O	O	O	_	_	_
;	O	O	O	O	O	O	_	_	_
6	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
δ	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
accent	O	O	O	O	O	O	_	_	_
as	O	O	O	O	O	O	_	_	_
495	O	O	B-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
τῶνδέ	O	O	O	O	O	O	_	_	_
τοι	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
628	S-scope	O	B-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
μεθεῖσά	O	O	O	O	O	O	_	_	_
μοι	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
where	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
omits	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
acute	O	O	O	O	O	O	_	_	_
accent	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
779	O	O	B-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
δε	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
.	O	O	I-work.primlit	O	O	O	_	_	_
δεῖν᾽	O	O	O	O	O	O	_	_	_
A	B-work	O	B-work.primlit	O	O	O	_	_	_
:	E-work	O	I-work.primlit	O	O	O	_	_	_
890	S-scope	O	B-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
μώραν	O	O	O	O	O	O	_	_	_
O	B-work	O	O	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
μωρὰν	O	O	O	O	O	O	_	_	_
Α	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
1433	S-scope	O	B-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Bare	O	O	O	O	O	O	_	_	_
O	B-work	O	B-work.primlit	O	O	O	_	_	_
.	I-work	O	I-work.primlit	O	O	O	_	_	_
Bite	E-work	O	I-work.primlit	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
149%	S-scope	O	B-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
πᾶσ᾽	O	O	O	O	O	O	_	_	_
O	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
πάσ	O	O	O	O	O	O	_	_	_
'	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

These	O	O	O	O	O	O	_	_	_
illustrate	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
minute	O	O	O	O	O	O	_	_	_
accuracy	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

3	O	O	O	O	O	O	_	_	_
-	O	O	O	O	O	O	_	_	_
From	O	O	O	O	O	O	_	_	_
this	O	O	O	O	O	O	_	_	_
list	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
readings	O	O	O	O	O	O	_	_	_
it	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
plain	O	O	O	O	O	O	_	_	_
that	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
more	O	O	O	O	O	O	_	_	_
correct	O	O	O	O	O	O	_	_	_
MS	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
than	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
fairer	O	O	O	O	O	O	_	_	_
representative	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
family	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
MSS	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
which	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
belongs	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

The	O	O	O	O	O	O	_	_	_
list	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
differences	O	O	O	O	O	O	_	_	_
just	O	O	O	O	O	O	_	_	_
given	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
almost	O	O	O	O	O	O	_	_	_
all	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
which	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
corrects	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
errors	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
clearly	O	O	O	O	O	O	_	_	_
shows	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
tendency	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
interpolation,	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
hence	O	O	O	O	O	O	_	_	_
at	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
same	O	O	O	O	O	O	_	_	_
time	O	O	O	O	O	O	_	_	_
it	O	O	O	O	O	O	_	_	_
follows	O	O	O	O	O	O	_	_	_
that	O	O	O	O	O	O	_	_	_
these	O	O	O	O	O	O	_	_	_
omissions	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
corruptions	O	O	O	O	O	O	_	_	_
do	O	O	O	O	O	O	_	_	_
not	O	O	O	O	O	O	_	_	_
belong	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
family	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
but	O	O	O	O	O	O	_	_	_
have	O	O	O	O	O	O	_	_	_
crept	O	O	O	O	O	O	_	_	_
into	O	O	O	O	O	O	_	_	_
one	O	O	O	O	O	O	_	_	_
branch	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
it	O	O	O	O	O	O	_	_	_
at	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
era	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
text	O	O	O	O	O	O	_	_	_
later	O	O	O	O	O	O	_	_	_
than	O	O	O	O	O	O	_	_	_
that	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
O	O	O	B-work.primlit	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
original	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

The	O	O	O	O	O	O	_	_	_
many	O	O	O	O	O	O	_	_	_
places	O	O	O	O	O	O	_	_	_
where	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
text	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
omits	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
word	O	O	O	O	O	O	_	_	_
or	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
corrupt	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
but	O	O	O	O	O	O	_	_	_
where	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
supplies	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
omission	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
confirms	O	O	O	O	O	O	_	_	_
L	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
correct	O	O	O	O	O	O	_	_	_
text	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
show	O	O	O	O	O	O	_	_	_
that	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
certainly	O	O	O	O	O	O	_	_	_
represents	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
text	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
earlier	O	O	O	O	O	O	_	_	_
date	O	O	O	O	O	O	_	_	_
than	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
when	O	O	O	O	O	O	_	_	_
it	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
still	O	O	O	O	O	O	_	_	_
pure	O	O	O	O	O	O	_	_	_
from	O	O	O	O	O	O	_	_	_
many	O	O	O	O	O	O	_	_	_
corruptions	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
errors	O	O	O	O	O	O	_	_	_
which	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
has	O	O	O	O	O	O	_	_	_
gathered	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

4	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Certain	O	O	O	O	O	O	_	_	_
corruptions	O	O	O	O	O	O	_	_	_
are	O	O	O	O	O	O	_	_	_
common	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
both	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
must	O	O	O	O	O	O	_	_	_
have	O	O	O	O	O	O	_	_	_
crept	O	O	O	O	O	O	_	_	_
into	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
text	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
this	O	O	O	O	O	O	_	_	_
family	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
MSS	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
at	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
date	O	O	O	O	O	O	_	_	_
considerably	O	O	O	O	O	O	_	_	_
anterior	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
that	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

The	O	O	O	O	O	O	_	_	_
following	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
list	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
all	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
errors	O	O	O	O	O	O	_	_	_
common	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
which	O	O	O	O	O	O	_	_	_
can	O	O	O	O	O	O	_	_	_
be	O	O	O	O	O	O	_	_	_
properly	O	O	O	O	O	O	_	_	_
called	O	O	O	O	O	O	_	_	_
errors	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
famiiy®	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

A	O	O	O	O	O	O	_	_	_
very	O	O	O	O	O	O	_	_	_
few	O	O	O	O	O	O	_	_	_
minor	O	O	O	O	O	O	_	_	_
divergencies	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
accent	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
orthography	O	O	O	O	O	O	_	_	_
are	O	O	O	O	O	O	_	_	_
omitted	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

¢	O	O	O	O	O	O	_	_	_
Punished	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
wrong	O	O	O	O	O	O	_	_	_
done	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
him	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
—	O	O	O	O	O	O	_	_	_
τίσασθαι	O	O	O	O	O	O	_	_	_
λώβην	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
]	O	O	O	O	O	O	_	_	_
.	O	O	I-work.primlit	O	O	O	_	_	_
το	B-scope	O	I-work.primlit	O	O	O	_	_	_
.	I-scope	O	I-scope	O	O	O	_	_	_
208	E-scope	O	I-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Od	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
zo	B-scope	O	B-scope	O	O	O	_	_	_
.	I-scope	O	I-scope	O	O	O	_	_	_
169	E-scope	O	B-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Hes	B-pers	O	B-pers.author	O	O	O	_	_	_
.	E-pers	O	I-pers.author	O	O	O	_	_	_
Theog	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
165	S-scope	O	B-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
‘to	O	O	O	O	O	O	_	_	_
revenge	O	O	O	O	O	O	_	_	_
oneself	O	O	O	O	O	O	_	_	_
for	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
outrage	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
>	O	O	O	O	O	O	_	_	_
—	O	O	O	O	O	O	_	_	_
or	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
‘Did	O	O	O	O	O	O	_	_	_
thee	O	O	O	O	O	O	_	_	_
vengeful	O	O	O	O	O	O	_	_	_
despite	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
”	O	O	O	O	O	O	_	_	_
λώβαν	O	O	O	O	O	O	_	_	_
cogn	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
acc	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

Cp	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
infr	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
217	S-scope	O	B-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
νύκτερος	O	O	O	O	O	O	_	_	_
ἀπελωβήθη	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
304	S-scope	O	B-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
ὕβριν	O	O	O	O	O	O	_	_	_
ἐκτίσαιτ᾽	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
1	B-scope	O	B-scope	O	O	O	_	_	_
]	I-scope	O	I-scope	O	O	O	_	_	_
.	I-scope	O	I-scope	O	O	O	_	_	_
13	I-scope	O	I-scope	O	O	O	_	_	_
.	I-scope	O	I-scope	O	O	O	_	_	_
622	I-scope	O	I-scope	O	O	O	_	_	_
,	I-scope	O	I-scope	O	O	O	_	_	_
3	E-scope	O	I-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Minuscule	B-scope	O	B-scope	O	O	O	_	_	_
308	E-scope	O	B-scope	O	O	O	_	_	_
(in	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
Gregory	S-pers	O	B-pers.author	O	O	O	_	_	_
-Aland	S-work	O	B-work.primlit	O	O	O	_	_	_
numbering	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
α	B-scope	O	B-scope	O	O	O	_	_	_
456	E-scope	O	I-scope	O	O	O	_	_	_
(Soden	S-loc	O	B-loc	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
Greek	O	O	O	O	O	O	_	_	_
minuscule	O	O	O	O	O	O	_	_	_
manuscript	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
New	B-date	O	O	O	O	O	_	_	_
Testament	E-date	O	I-date	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
on	O	O	O	O	O	O	_	_	_
paper	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Minuscule	B-scope	O	B-scope	O	O	O	_	_	_
328	E-scope	O	B-scope	O	O	O	_	_	_
(in	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
Gregory	B-work	O	B-pers.author	O	O	O	_	_	_
-Aland	E-work	O	B-work.primlit	O	O	O	_	_	_
numbering	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
α	B-scope	O	O	O	O	O	_	_	_
358	E-scope	O	I-scope	O	O	O	_	_	_
(Soden	S-loc	O	B-loc	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
Greek	O	O	O	O	O	O	_	_	_
minuscule	O	O	O	O	O	O	_	_	_
manuscript	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
New	B-date	O	B-date	O	O	O	_	_	_
Testament	E-date	O	I-date	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
on	O	O	O	O	O	O	_	_	_
parchment	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Aspergillopeptidase	O	O	O	O	O	O	_	_	_
A	O	O	O	O	O	O	_	_	_
may	O	O	O	O	O	O	_	_	_
refer	O	O	O	O	O	O	_	_	_
to	O	O	O	O	O	O	_	_	_
:Penicillopepsin	S-work	O	B-work.primlit	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
EC	B-scope	O	B-scope	O	O	O	_	_	_
3	E-scope	O	I-scope	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Minuscule	B-scope	O	B-scope	O	O	O	_	_	_
322	E-scope	O	B-scope	O	O	O	_	_	_
(in	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
Gregory	B-work	O	B-work.primlit	O	O	O	_	_	_
-Aland	E-work	O	I-work.primlit	O	O	O	_	_	_
numbering	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
α	B-scope	O	B-scope	O	O	O	_	_	_
550	E-scope	O	I-scope	O	O	O	_	_	_
(Soden	S-loc	O	B-loc	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
Greek	O	O	O	O	O	O	_	_	_
minuscule	O	O	O	O	O	O	_	_	_
manuscript	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
New	B-date	O	B-work.primlit	O	O	O	_	_	_
Testament	E-date	O	I-date	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
on	O	O	O	O	O	O	_	_	_
paper	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Minuscule	B-scope	O	B-scope	O	O	O	_	_	_
309	E-scope	O	B-scope	O	O	O	_	_	_
(in	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
Gregory	B-work	O	B-pers.author	O	O	O	_	_	_
-Aland	E-work	O	B-work.primlit	O	O	O	_	_	_
numbering	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
