TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
poëte	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Voy	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
la	O	O	O	O	O	O	O	O	O
note	O	O	O	O	O	O	O	O	O
sur	O	O	O	O	O	O	O	O	O
le	O	O	O	O	O	O	O	O	O
vers	O	O	O	O	O	O	O	O	O
345	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	O	O	O	O	O	O	O	EndOfSentence

—	O	O	O	O	O	O	O	O	O
52	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
T	O	O	O	O	O	O	O	O	NoSpaceAfter
;	O	O	O	O	O	O	O	O	O
évnxéctou	O	O	O	O	O	O	O	O	O
yapæ	O	O	O	O	O	O	O	O	NoSpaceAfter
:	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Scholiaste	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O
Τὸ	O	O	O	O	O	O	O	O	O
ἑξῆς"	O	O	O	O	O	O	O	O	O
Ἐγώ	O	O	O	O	O	O	O	O	O
σφ᾽	O	O	O	O	O	O	O	O	O
ἀπείργω	O	O	O	O	O	O	O	O	O
τῆς	O	O	O	O	O	O	O	O	O
ἀνηχέ	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
στον	O	O	O	O	O	O	O	O	O
γαρᾶς	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

δ8	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	NoSpaceAfter
δ4	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
Σύμμιχτά	O	O	O	O	O	O	O	O	O
τε	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
φρονρήματα	O	O	O	O	O	O	O	O	O
équivaut	O	O	O	O	O	O	O	O	O
ἃ	O	O	O	O	O	O	O	O	O
χαὶ	O	O	O	O	O	O	O	O	O
πρὸς	O	O	O	O	O	O	O	O	O
τὴν	O	O	O	O	O	O	O	O	O
σύμμιχτον	O	O	O	O	O	O	O	O	O
καὶ	O	O	O	O	O	O	O	O	O
ἄδαστον	O	O	O	O	O	O	O	O	O
λείαν	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
ὑπὸ	O	O	O	O	O	O	O	O	O
τῶν	O	O	O	O	O	O	O	O	O
βουχόλων	O	O	O	O	O	O	O	O	O
φρου	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
ρουμένην	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

δῦ	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
"Exerpe	O	O	O	O	O	O	O	O	O
ToXuxepov	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Allitéèration	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
comme	O	O	O	O	O	O	O	O	O
peut	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	NoSpaceAfter
être	O	O	O	O	O	O	O	O	O
plus	O	O	O	O	O	O	O	O	O
haut	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O
30	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED0.00
:	O	O	O	O	O	O	O	O	O
πηδῶντα	O	O	O	O	O	O	O	O	O
æesia	O	O	O	O	O	O	O	O	NoSpaceAfter
)	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

D	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
ailleurs	O	O	O	O	O	O	O	O	O
Execpe	O	O	O	O	O	O	O	O	O
qOvoy	O	O	O	O	O	O	O	O	O
rappelle	O	O	O	O	O	O	O	O	O
τρώσῃς	O	O	O	O	O	O	O	O	O
Gôvov	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
Furipide	B-pers	O	B-pers.author	O	O	O	Q48305	O	InPrimaryReference|NoSpaceAfter|LED0.12
,	O	O	O	O	O	O	O	O	InPrimaryReference
Suppliantes	B-work	O	B-work.primlit	O	O	O	Q672319	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
4305	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED0.50
)	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
οἱ	O	O	O	O	O	O	O	O	O
πολύχερων	O	O	O	O	O	O	O	O	O
φόνον	O	O	O	O	O	O	O	O	O
N	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
est	O	O	O	O	O	O	O	O	O
pas	O	O	O	O	O	O	O	O	O
plas	O	O	O	O	O	O	O	O	O
hardi	O	O	O	O	O	O	O	O	O
6	O	O	O	O	O	O	O	O	O
τετρατκελῆ	O	O	O	O	O	O	O	O	O
χενταυροπληθὴ	O	O	O	O	O	O	O	O	O
πό	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
λεμον	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
Euripide	B-pers	O	B-pers.author	O	O	O	Q48305	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
fercule	B-work	O	B-work.primlit	O	O	O	Q1233835	O	InPrimaryReference|LED0.20
ſurieuæ	I-work	O	I-work.primlit	O	O	O	Q1233835	O	InPrimaryReference|NoSpaceAfter|LED0.20
,	O	O	O	O	O	O	O	O	InPrimaryReference
4272	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED0.25
)	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
ni	O	O	O	O	O	O	O	O	O
que	O	O	O	O	O	O	O	O	O
ynyevh	O	O	O	O	O	O	O	O	O
paynv	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
le	O	O	O	O	O	O	O	O	O
même	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
ſon	B-work	O	B-work.primlit	O	O	O	Q614607	O	InPrimaryReference|NoSpaceAfter|LED0.33
,	O	O	O	O	O	O	O	O	InPrimaryReference
987	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	O
et	O	O	O	O	O	O	O	O	O
Cyclope	B-work	O	B-work.primlit	O	O	O	Q1206121	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
b	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED1.00
)	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

(	O	O	O	O	O	O	O	O	NoSpaceAfter
Schneidewin	B-pers	O	B-pers.editor	O	O	O	Q70043	O	LED0.00
et	O	O	O	O	O	O	O	O	O
di	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
vers	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	NoSpaceAfter
]	O	O	O	O	O	O	O	O	EndOfSentence

56	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
“	O	O	O	O	O	O	O	O	NoSpaceAfter
Pxyitr	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	NoSpaceAfter
v	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Seholiaste	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O
Ataxôxteov®	O	O	O	O	O	O	O	O	O
διὰ	O	O	O	O	O	O	O	O	O
τὸ	O	O	O	O	O	O	O	O	O
τὴν	O	O	O	O	O	O	O	O	O
πρώτην	O	O	O	O	O	O	O	O	O
καὶ	O	O	O	O	O	O	O	O	O
μεγάλην	O	O	O	O	O	O	O	O	O
διακοπὴν	O	O	O	O	O	O	O	O	O
χατὰ	O	O	O	O	O	O	O	O	O
ῥάχιν	O	O	O	O	O	O	O	O	O
γίνεσθαι	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

57	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	NoSpaceAfter
"Eywv	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Les	O	O	O	O	O	O	O	O	O
participes	O	O	O	O	O	O	O	O	O
formant	O	O	O	O	O	O	O	O	O
iambe	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
comme	O	O	O	O	O	O	O	O	O
Eywv	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
napoy	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
po	O	O	O	O	O	O	O	O	NoSpaceAfter
)	O	O	O	O	O	O	O	O	NoSpaceAfter
wv	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
ἰών	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
com	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
plètent	O	O	O	O	O	O	O	O	O
souvent	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
chez	O	O	O	O	O	O	O	O	O
les	O	O	O	O	O	O	O	O	O
tragiques	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
la	O	O	O	O	O	O	O	O	O
phrase	O	O	O	O	O	O	O	O	O
ou	O	O	O	O	O	O	O	O	O
le	O	O	O	O	O	O	O	O	O
vers	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
sans	O	O	O	O	O	O	O	O	O
ajouter	O	O	O	O	O	O	O	O	O
rien	O	O	O	O	O	O	O	O	O
d	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
indispensable	O	O	O	O	O	O	O	O	O
au	O	O	O	O	O	O	O	O	O
sens	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	EndOfSentence

58	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
"Ot	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Il	O	O	O	O	O	O	O	O	O
faut	O	O	O	O	O	O	O	O	O
suppléer	O	O	O	O	O	O	O	O	O
devant	O	O	O	O	O	O	O	O	O
ce	O	O	O	O	O	O	O	O	O
se	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
cond	O	O	O	O	O	O	O	O	O
ôte	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
Ea6*	O	O	O	O	O	O	O	O	O
exprimé	O	O	O	O	O	O	O	O	O
devant	O	O	O	O	O	O	O	O	O
le	O	O	O	O	O	O	O	O	O
premier	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
et	O	O	O	O	O	O	O	O	O
interprêter	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O
D	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
autres	O	O	O	O	O	O	O	O	O
fois	O	O	O	O	O	O	O	O	O
tantôt	O	O	O	O	O	O	O	O	O
l	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
an	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
tantôt	O	O	O	O	O	O	O	O	O
l	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
autre	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
les	O	O	O	O	O	O	O	O	O
Atrides	O	O	O	O	O	O	O	O	O
exceptés	O	O	O	O	O	O	O	O	NoSpaceAfter
)	O	O	O	O	O	O	O	O	O
des	O	O	O	O	O	O	O	O	O
chefs	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

59	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
’	O	O	O	O	O	O	O	O	NoSpaceAfter
Eyd&	O	O	O	O	O	O	O	O	O
Bé	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
or	O	O	O	O	O	O	O	O	O
c	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
est	O	O	O	O	O	O	O	O	O
moi	O	O	O	O	O	O	O	O	O
qui	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
—	O	O	O	O	O	O	O	O	O
Œor	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
tüvræ	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Ooirõv	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
c	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
est	O	O	O	O	O	O	O	O	O
revenir	O	O	O	O	O	O	O	O	O
à	O	O	O	O	O	O	O	O	O
plusieure	O	O	O	O	O	O	O	O	O
reprises	O	O	O	O	O	O	O	O	O
au	O	O	O	O	O	O	O	O	O
même	O	O	O	O	O	O	O	O	O
endroit	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O
l	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
équivalent	O	O	O	O	O	O	O	O	O
français	O	O	O	O	O	O	O	O	O
est	O	O	O	O	O	O	O	O	O
souvont	O	O	O	O	O	O	O	O	O
/réquenter	O	O	O	O	O	O	O	O	O
;	O	O	O	O	O	O	O	O	O
souvent	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
comme	O	O	O	O	O	O	O	O	O
en	O	O	O	O	O	O	O	O	O
cet	O	O	O	O	O	O	O	O	O
endroit	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
errer	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

—	O	O	O	O	O	O	O	O	O
Mavtdarv	O	O	O	O	O	O	O	O	O
νότοις	O	O	O	O	O	O	O	O	O
ἀόρεπά	O	O	O	O	O	O	O	O	O
ἀς	O	O	O	O	O	O	O	O	O
φοιτῶντα	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

60	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
"Mlrpuvoy	O	O	O	O	O	O	O	O	O
…	O	O	O	O	O	O	O	O	O
xax&	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
j	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
aiguillonnais	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
comme	O	O	O	O	O	O	O	O	O
avec	O	O	O	O	O	O	O	O	O
l	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
épieu	O	O	O	O	O	O	O	O	NoSpaceAfter
)	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
je	O	O	O	O	O	O	O	O	O
poussais	O	O	O	O	O	O	O	O	O
dans	O	O	O	O	O	O	O	O	O
les	O	O	O	O	O	O	O	O	O
rets	O	O	O	O	O	O	O	O	O
funestes	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
c	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
est	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	NoSpaceAfter
à	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	NoSpaceAfter
dire	O	O	O	O	O	O	O	O	O
à	O	O	O	O	O	O	O	O	O
sa	O	O	O	O	O	O	O	O	O
perte	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

(	O	O	O	O	O	O	O	O	NoSpaceAfter
Mé	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
taphore	O	O	O	O	O	O	O	O	O
empruntée	O	O	O	O	O	O	O	O	O
à	O	O	O	O	O	O	O	O	O
la	O	O	O	O	O	O	O	O	O
chasse	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	NoSpaceAfter
)	O	O	O	O	O	O	O	O	EndOfSentence

Eschyle	B-pers	O	B-pers.author	O	O	O	Q40939	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
Perses	B-work	O	B-work.primlit	O	O	O	Q788458	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
981	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|LED0.33
Ilapæyer	O	O	O	O	O	O	O	O	O
Bportèv	O	O	O	O	O	O	O	O	O
el	O	O	O	O	O	O	O	O	O
&pxû	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	O
στατα	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	NoSpaceAfter
ἀπάτα	O	O	O	O	O	O	O	O	O
θεῶν	O	O	O	O	O	O	O	O	NoSpaceAfter
)	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence


# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0066.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0066
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
428	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Συγκατέζευχται	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Οἵ	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
Euripide	B-pers	O	B-pers.author	O	O	O	Q48305	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
Andromaque	B-work	O	B-work.primlit	O	O	O	Q512802	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
98	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|LED0.00
:	O	O	O	O	O	O	O	O	O
Στερρὸν	O	O	O	O	O	O	O	O	O
δαίμον᾽	O	O	O	O	O	O	O	O	O
ᾧ	O	O	O	O	O	O	O	O	O
συνεLuynvs	O	O	O	O	O	O	O	O	NoSpaceAfter
Hélène	B-work	O	B-work.primlit	O	O	O	Q1248812	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
256	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|LED0.33
:	O	O	O	O	O	O	O	O	O
tivs	O	O	O	O	O	O	O	O	O
TÔTUE	O	O	O	O	O	O	O	O	O
GUVECuynv;	O	O	O	O	O	O	O	O	NoSpaceAfter
Hippolyte	B-work	O	B-work.primlit	O	O	O	Q375786	O	InPrimaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InPrimaryReference
1389	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|LED0.00
:	O	O	O	O	O	O	O	O	O
οἵᾳ	O	O	O	O	O	O	O	O	O
συμφορᾷ	O	O	O	O	O	O	O	O	O
auvetüyme	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
[	O	O	O	O	O	O	O	O	NoSpaceAfter
Schneidewin	B-pers	O	B-pers.editor	O	O	O	Q70043	O	NoSpaceAfter|LED0.00
.	O	O	O	O	O	O	O	O	NoSpaceAfter
]	O	O	O	O	O	O	O	O	EndOfSentence

Dans	O	O	O	O	O	O	O	O	O
tous	O	O	O	O	O	O	O	O	O
ces	O	O	O	O	O	O	O	O	O
passages	O	O	O	O	O	O	O	O	O
le	O	O	O	O	O	O	O	O	O
malbeur	O	O	O	O	O	O	O	O	O
est	O	O	O	O	O	O	O	O	NoSpaceAfter
-	O	O	O	O	O	O	O	O	NoSpaceAfter
il	O	O	O	O	O	O	O	O	O
assimilé	O	O	O	O	O	O	O	O	O
à	O	O	O	O	O	O	O	O	O
un	O	O	O	O	O	O	O	O	O
char	O	O	O	O	O	O	O	O	O
traîné	O	O	O	O	O	O	O	O	O
par	O	O	O	O	O	O	O	O	O
le	O	O	O	O	O	O	O	O	O
malheureux	O	O	O	O	O	O	O	O	O
?	O	O	O	O	O	O	O	O	O
οὐ	O	O	O	O	O	O	O	O	O
ἃ	O	O	O	O	O	O	O	O	O
un	O	O	O	O	O	O	O	O	O
joug	O	O	O	O	O	O	O	O	O
porté	O	O	O	O	O	O	O	O	O
par	O	O	O	O	O	O	O	O	O
lui	O	O	O	O	O	O	O	O	NoSpaceAfter
?	O	O	O	O	O	O	O	O	O
ou	O	O	O	O	O	O	O	O	O
à	O	O	O	O	O	O	O	O	O
une	O	O	O	O	O	O	O	O	O
bête	O	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O	O
sommc	O	O	O	O	O	O	O	O	O
attelée	O	O	O	O	O	O	O	O	O
avec	O	O	O	O	O	O	O	O	O
lui	O	O	O	O	O	O	O	O	NoSpaceAfter
?	O	O	O	O	O	O	O	O	EndOfSentence

Ni	O	O	O	O	O	O	O	O	O
le	O	O	O	O	O	O	O	O	O
Scholiaste	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
ni	O	O	O	O	O	O	O	O	O
les	O	O	O	O	O	O	O	O	O
commentateurs	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
ni	O	O	O	O	O	O	O	O	O
Ellendt	B-pers	O	B-pers.author	O	O	O	Q18411800	O	NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	O
duns	O	O	O	O	O	O	O	O	O
son	O	O	O	O	O	O	O	O	O
Lexique,	O	O	O	O	O	O	O	O	NoSpaceAfter
n	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
essayent	O	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O	O
rendre	O	O	O	O	O	O	O	O	O
un	O	O	O	O	O	O	O	O	O
compte	O	O	O	O	O	O	O	O	O
exact	O	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O	O
cette	O	O	O	O	O	O	O	O	O
image	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

Le	O	O	O	O	O	O	O	O	O
